"","country","field","level","sex","opiEU"
"1372","Germany","Other","A-level or equivalent","Female","Quite positive"
"1373","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1374","Turkey","Other","A-level or equivalent","Female","Very positive"
"1375","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1376","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Very positive"
"1377","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female",NA
"1378","Turkey","Other","A-level or equivalent","Female","Quite positive"
"1379","France Antilles","Natural sciences, mathematics and statistics","A-level or equivalent","Female",NA
"1380","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Very negative"
"1381","Germany","Other","Bachelors degree or equivalent","Female","Quite positive"
"1382","Turkey","Engineering, manufacturing and construction","A-level or equivalent","Female","Very positive"
"1383","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Very positive"
"1384","France Antilles","Engineering, manufacturing and construction","Masters degree or equivalent","Female","Quite positive"
"1385","Germany","Arts and Humanities","A-level or equivalent","Female","Very positive"
"1386","France Antilles","Other","Bachelors degree or equivalent","Female","Very negative"
"1387","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Neutral"
"1388","Germany","Business, administration and law","A-level or equivalent","Male","Quite negative"
"1389","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite negative"
"1390","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"1391","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite positive"
"1392","Germany","Business, administration and law","A-level or equivalent","Female","Neutral"
"1393","Germany","Other","A-level or equivalent","Male","Neutral"
"1394","Germany","Other","A-level or equivalent","Male","Quite positive"
"1395","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"1396","France Metropolitan","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1397","Germany","Arts and Humanities","Bachelors degree or equivalent","Female",NA
"1398","France Antilles","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1399","Germany","Other","A-level or equivalent","Female","Quite positive"
"1400","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1401","Tunisia","Other","Masters degree or equivalent","Male","Quite positive"
"1402","Turkey","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1403","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"1404","Ireland","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"1405","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"1406","Germany","Arts and Humanities","A-level or equivalent","Female","Very positive"
"1407","Germany","Business, administration and law","A-level or equivalent","Male",NA
"1408","France Metropolitan","Other","Bachelors degree or equivalent","Male","Very negative"
"1409","France Metropolitan","Business, administration and law","Masters degree or equivalent","Female","Very positive"
"1410","Germany","Other","A-level or equivalent","Male","Quite negative"
"1411","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"1412","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Very positive"
"1413","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Very positive"
"1414","Germany","Business, administration and law","PhD or equivalent","Male","Very negative"
"1415","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"1416","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1417","Germany","Other","Bachelors degree or equivalent","Male","Quite positive"
"1418","Turkey","Other","A-level or equivalent","Female","Quite positive"
"1419","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Very positive"
"1420","Tunisia","Other","Masters degree or equivalent","Female","Quite positive"
"1421","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1422","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1423","France Antilles","Arts and Humanities","A-level or equivalent","Other","Quite negative"
"1424","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male",NA
"1425","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male",NA
"1426","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1427","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1428","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"1429","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Quite negative"
"1430","Germany","Arts and Humanities","Masters degree or equivalent","Female","Very positive"
"1431","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Female","Neutral"
"1432","Germany","Other","Bachelors degree or equivalent","Other","Quite positive"
"1433","Turkey","Engineering, manufacturing and construction","A-level or equivalent","Female","Neutral"
"1434","Tunisia","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"1435","France Metropolitan","Health","Masters degree or equivalent","Male",NA
"1436","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Very positive"
"1437","France Antilles","Other","Masters degree or equivalent","Male",NA
"1438","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male",NA
"1439","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Very positive"
"1440","Turkey","Business, administration and law","A-level or equivalent","Male","Prefer not to answer"
"1441","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1442","Turkey","Social sciences, journalism and information","A-level or equivalent","Female","Very negative"
"1443","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1444","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"1445","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Very positive"
"1446","France Metropolitan","Other","Bachelors degree or equivalent","Female","Neutral"
"1447","Germany","Other","Bachelors degree or equivalent","Female","Quite positive"
"1448","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1449","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Very negative"
"1450","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"1451","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1452","France Metropolitan","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1453","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
